song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
3Yn83dJGBWtL0icQirgyp6;Urban contemporary;1ZlL3IQS8eB0s0RMxz02yD;r&b;urban contemporary
3Fd0HFWIJ1BGz8zSre2E36;HIP-HOP: Latin Rap ['89-present];5fWgI0IJ1el5NB1sZ0Egsx;latin;latin hip hop
0zx2Dq4YeAAjKcbPSS2DaQ;Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop;53CmFroG6MWR5reOOXJX6B;pop;electropop
1Dx8rIZaXzZPvUQRF2j9hB;urban contemporary;7en9i0JMyJlRFX4r4XrXXx;r&b;urban contemporary
2kBgJXGbVA6WcA40IFA9KF;Paraiso Tropical;37i9dQZF1DWYey22ryYM8U;latin;tropical
4I0R7t0kvVTlqQGpDp0GXl;Trap strefa;37i9dQZF1DWY3UKS6jvnxr;RAP;trap
0ePfZpWW9eDNreAMxT1rjg;Progressive Rock / Metal - Rock /Metal  Progresivo;7GhTpb4eOp6403Bmgqz3db;Rock;album rock
0W6yJKJW8I04iDT6BsINaL;BIG-ROOM NEVER DIES !;4QtO2XySphMOJt7pX0yaVi;edm;big room
2NL5Cwq6lZZkXGTWhKhhvC;Arena Hip-Hop;37i9dQZF1DWVFZbCNivv6B;Rap;hip hop
1eOCyaSRBdFGofbLYjgGM2;NEO FUNK AND SOUL;2WbTrS5D0V2TW6DiDkJBru;r&b;neo soul
1jLsirPDkUS2g4gnkYua58;ElectroPop;0cuHKz65ZPqBX1brG8djlg;pop;electropop
5DfWF0jqMgZDCiu9zJENTA;Hip pop;1Sc7bobknESH7SXQcnmoX5;R&B;hip pop
4Uxb6ZyCz6YnB0Rr85IsS8;Neo Soul 2019;44d7ppo4cggZJmzH2WOhAc;r&b;neo soul
24Hzd4FPhz0HPx9jhM9cap;Dance Pop;37i9dQZF1DWZQaaqNMbbXa;Pop;dance pop
2eA160jLLoHiJKOqvOFKJt;The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.;1S7BckuYIkEazeNKOSM0uA;r&b;urban contemporary
0vnzk4L0JyMODSqLp3pHwo;REGGAETON VIEJO;31hG19URdBvLEpQWKFYfdD;latin;reggaeton
28jIn3exiIQxo2lLUlXQJs;Gangster Rap Workout;0ZRwrJ2EDGyKR6YgQPWXeO;rap;gangster rap
59NBXgEzsssLPR4vLRlr6T;Selected House;2JPzPB9jnvJLAYtmCbvZy8;edm;progressive electro house
