song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
0D4yVl9Pn45xW2s63MFCmT;Indie Poptimism;21nxmipQe5xtXoHHPaYfnY;pop;indie poptimism
59K1LiDT4btNGyOekA1ghR;Contemporary Urban;6wyJ4bsjZaUKa9f6GeZlAO;R&B;urban contemporary
4AYsLrH5JLzVh7VuaQDTWt;Vocal House;5PCAWKfUWAUj8VeY8G7xRQ;Edm;progressive electro house
4Tttv4p2xuAq1LpQ7LI95E;90s Gangsta Rap / Top Hip-hop Classics;0C2zyPdlkbWHrwVg9gqNdU;rap;gangster rap
66TRwr5uJwPt15mfFkzhbi;Hip-Hop Drive;37i9dQZF1DWUFmyho2wkQU;Rap;hip hop
0cEY2XrkwZAyrxMioyiAQB;New Jack Swing;4nX6BscFtR1CozSCfv2cuR;r&b;new jack swing
0Zh5U48tZNeAzzLTV1CVBE;Gangster Rap;5joQabz9ys3XPGbSx5CaKv;RAP;gangster rap
7cohRKBHDeIVhPGlU9toqE;Global Top 50 | 2020 Hits;1KNl4AYfgZtOVm9KHkhPTF;LATIN;latin hip hop
3PAYDLeC1RxDIbzi9hZYne;New Jack Swing;3ykXidKLz1eYPvuGoFlD1e;R&B;new jack swing
7rwWVAldgVU8CtPrxgwItZ;SINULOG Festival 2020;0COM4nZqdXC3sMjVdcaU7V;Edm;big room
70Vdd1gx5tn84jkAU31ASv;10er Playlist;1kEczIkZH8IgaWT2BiApxZ;pop;electropop
1YXYUxukckA5LLnPe90AlS;90s-2000s Southern Hip Hop / Crunk;5wsWBmQgDtKa8CEg7wTEMi;rap;southern hip hop
4l7oD6415mxY0uSppVUUjX;Rap Workout;37i9dQZF1DX76t638V6CA8;rap;hip hop
28rT6KZftud6P93LetVrPD;Viral Southern Hip Hop;0DdGqNa18DwYyfIR05OrW1;rap;southern hip hop
4i53smHJgzRgTEI9F2mZ93;Contemporary Urban;6wyJ4bsjZaUKa9f6GeZlAO;r&b;urban contemporary
5rU6kDNXZLXIinFezpbWbO;Hip Hop Controller;37i9dQZF1DWT5MrZnPU1zD;Rap;hip hop
4svaGEtJdr5gdhBvdIkGaL;Reggaeton 2020 ☀;7xWuNevFBmwnFEg6wzdCc7;Latin;reggaeton
4HCsKNye8SYImpwXnurwmN;REGGAETON VIEJO;31hG19URdBvLEpQWKFYfdD;latin;reggaeton
1n2ftY1tDVEyf1uFcNjAuN;Rock Hard;37i9dQZF1DWWJOmJ7nRx0C;Rock;hard rock
0Xz3DTcdZI01mjKfNZrsC1;Big Room Beast;3PNyCpkY7NAXyhopBpj7vc;edm;big room
