track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date;playlist_name;playlist_id;playlist_genre;playlist_subgenre;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;Escala;Clave
6U6nzpSvKxju6WA0Kojcxn;The One;Habstrakt;50;7jTjkekiP10wcRMtmcDLm8;The One;2019-08-26;Nasty Bits;37i9dQZF1DX2VvACCrgjrt;edm;electro house;0.779;0.932;-3.568;0.255;0.00424;0.498;0.734;0.211;127.983;230288;Mayor;D
1YIqazOPARc41ThBqS7a8F;Ferrari;Duki;2;4p0pejjNkFsvsqK6R5t2lq;Ferrari;2018-06-15;Trap Argentino - Trap Argentina;6ltss0ThreZ3uIMn5mr4Tm;rap;trap;0.707;0.756;-5.696;0.0415;0.5;3.78e-06;0.108;0.543;153.499;181322;Mayor;G#
70RqwI4jVXjDGQl5UWDFPE;Fat Boy Roll;Bigg Rich;33;61JlgTSyRIaBMqdqBvUebO;Fat Boy Roll;2015-06-01;Great Pops;5SO7xYih5w8X5FEpKvU7Rt;latin;latin pop;0.879;0.76;-3.571;0.156;0.057;1.45e-06;0.0831;0.68;156.02;261016;Mayor;C#
2GXOmuU3kApsq2TWqOU5Bm;Send It;Steve Aoki;65;3oTfO9OJOKCKEzDSVhUMml;Send It;2019-10-04;Epic Bass Drops | Best House Mixes;4IS7o1utOzhimFEFnj9gmu;edm;progressive electro house;0.646;0.979;-5.312;0.101;0.0199;0.776;0.38;0.091;124.066;182671;Menor;E
0EkB09i9ohIUnsw45jzEyf;Toxic;Yael Naim;4;09Cvd1XS0KwCXfMXukpvSS;Yael Naim;2007-10-22;Bluegrass Covers;37i9dQZF1DX56crgoe4TG3;r&b;hip pop;0.647;0.299;-11.836;0.0632;0.605;5.56e-05;0.0685;0.157;120.043;267226;Mayor;G#
1BZquLvuXZMig4HCDmHCI9;Who Will I Be;Demi Lovato;0;5op6Xx2E6olsdfFx6VFUDO;Camp Rock OST;2008-01-01;🤩🤪Post Teen Pop🤪🤩;6IT8LGpwLw3Pt2XnVUBN7j;pop;post-teen pop;0.493;0.946;-2.169;0.0751;0.0006489999999999;4.26e-05;0.269;0.749;152.089;187467;Mayor;C
0S8szpYAYYZJGHAzLPF7kZ;Everyday - Remastered;Jamiroquai;5;39j0mP1Vx1zRKMLMHhybw3;Travelling Without Moving;1996-09-09;NEO FUNK AND SOUL;2WbTrS5D0V2TW6DiDkJBru;r&b;neo soul;0.703;0.411;-13.881;0.0346;0.342;0.565;0.0895;0.763;136.139;268467;Menor;B
2GgxS8bUT5G25QJTsfSv0R;Burn;Ellie Goulding;70;2Dw4fYqDQnxsgoXDdMbqh3;Halcyon Days;2014-01-01;post teen pop;6rjxP7GQKoqqgoakzxl3PY;pop;post-teen pop;0.559;0.777;-5.031;0.0432;0.31;0.0;0.105;0.329;87.016;231212;Mayor;C#
0azC730Exh71aQlOt9Zj3y;This Is What You Came For;Calvin Harris;79;3pEgGUv379EDinvg1TN7Kt;This Is What You Came For;2016-04-29;BALLARE - رقص;1CMvQ4Yr5DlYvYzI0Vc2UE;pop;post-teen pop;0.63;0.928;-2.787;0.0331;0.199;0.124;0.148;0.465;123.963;222160;Menor;A
5oXStHQf9eqsc05fioz1tE;Carillo;Bufalo;38;5ZKDf8YObReNGRR0xl64Ng;Carillo;2020-01-03;Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs;3xMQTDLOIGvj3lWH5e5x6F;edm;pop edm;0.598;0.862;-4.738;0.099;0.00251;0.0;0.305;0.366;117.054;176410;Mayor;F#
4IMyXN5fxdQib60dcLBwza;Rocket;Mike Williams;51;6EesigxR3A2PIw24U7cpsS;Rocket;2018-09-21;Epic Bass Drops | Best House Mixes;4IS7o1utOzhimFEFnj9gmu;edm;progressive electro house;0.579;0.789;-4.668;0.0318;0.0415;0.000268;0.705;0.453;128.041;172608;Mayor;G
7n1940b6kHcaEewFSZXnXa;Better Not (with Wafia);Louis The Child;73;21R2CiMVZH2MY514Sq2DIG;Kids At Play- EP;2018-10-26;Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband);69yb02k0ZOmukYaxJXwp76;pop;indie poptimism;0.783;0.537;-2.921;0.0795;0.278;0.0;0.229;0.393;113.988;222866;Mayor;A
4JaLkM90MJutDAl5jD9BZX;No Control;One Direction;67;4gCNyS7pidfK3rKWhB3JOY;FOUR (Deluxe);2014-11-17;🤩🤪Post Teen Pop🤪🤩;6IT8LGpwLw3Pt2XnVUBN7j;pop;post-teen pop;0.558;0.916;-3.145;0.0839;0.0278;0.0;0.0296;0.85;142.984;199720;Menor;C#
6oyeeA0sHwHM1pPpZaIsrD;Phantom Menace;$uicideBoy$;56;72I2i7wwU3Q7mJGxbNW12D;I Want To Die In New Orleans;2018-09-07;Rap Party 24/7 Radio / Gangsta Rap;4sGnz2x5tbHE2YlW1nemfb;rap;gangster rap;0.697;0.844;-5.008;0.29;0.384;2.04e-05;0.0557;0.263;146.056;141971;Mayor;G#
3Gwq0zKnMWluOEPKh93BeC;Lost At Sea;Zedd;51;7juWTdmjo0vYywWu8HiQxs;Clarity;2012-01-01;♥ EDM LOVE 2020;6jI1gFr6ANFtT8MmTvA2Ux;edm;progressive electro house;0.567;0.796;-3.534;0.0364;0.0247;0.0;0.124;0.305;127.983;225840;Mayor;F#
0ktUOmqwFOpdPqqGMnmHqm;2020;Great Good Fine Ok;57;2ibchdi4f76QUODNjMDy9C;2020;2019-12-27;The Sound of Indie Poptimism;7nHgmv7uyIA1KHj6qTttjH;pop;indie poptimism;0.643;0.613;-6.297;0.0853;0.334;2.54e-05;0.144;0.52;153.853;159500;Menor;A#
18UDolpvPEqVzIE69xobUQ;Cornbread & Greens (feat. Big Pokey);Cupid;28;22GJTfMwpbBT9nSeMfkCm8;Dance Party King;2016-08-31;Southern Soul BBQ Mix;3nTS97zUqxJBQeiXNRs963;rap;southern hip hop;0.69;0.688;-7.994;0.156;0.0313;2.04e-05;0.101;0.794;203.648;254171;Menor;D#
5v98VA4TXznJNrw0XRphIb;I'm Not Alone - 2019 Edit;Calvin Harris;63;65Je3CF9LBWoGx2p0zDIpF;I'm Not Alone 2019;2019-04-05;PAROOKAVILLE - Big Room;6vbHQdtfmexb0ptmBSpemm;edm;big room;0.6;0.982;-3.921;0.0337;0.00349;0.48;0.124;0.212;127.994;201314;Mayor;B
4DhbiXEuV7JxSR0wuqetTa;Free Ride;The Edgar Winter Group;59;4CNEJF5wYGqhOYEKq8ciu8;They Only Come Out At Night;1972-11-30;Classic Rock Greatest Hits;6TeyryiZ2UEf3CbLXyztFA;rock;classic rock;0.674;0.686;-11.927;0.0597;0.29;0.00322;0.189;0.814;124.204;187173;Mayor;D
4jmfX9D0GoHnkSGDwPN7HB;The Hills - RL Grime Remix;The Weeknd;0;2A7d4WOv1L9Nv3zQTKXkQ5;The Hills (RL Grime Remix);2015-11-06;EDM - pop remixes;0cvVad4XizGbOS0vlwZYS5;edm;pop edm;0.524;0.904;-2.614;0.0544;0.103;0.201;0.165;0.413;139.976;271067;Menor;C
1A80HRxJMhn6YAxqRup4BQ;Oh Baby;Martin Mix;37;7LPvpi4FjES1wzl8ioKjA2;Oh Baby;2019-09-27;Club Mix 2020 🍹;7sq6nuruoMyDhEWkX2oYOg;edm;electro house;0.577;0.975;-2.841;0.0656;0.0434;0.000166;0.19;0.416;126.076;160000;Mayor;D
2zkhW5YaOPPaPgNWXmjTjF;Come Around;Hoodie Allen;61;17T8CV4M48fbpx0npYM3HY;Whatever USA;2019-08-16;2019 in Indie Poptimism;16RNbqnNCCLlBJti7JU5nc;pop;indie poptimism;0.726;0.727;-4.919;0.0969;0.363;0.0;0.231;0.815;77.543;166696;Mayor;A
2xHEAdEalJ5YcP0ur8kF6L;Warm (feat. HAIM);Charli XCX;55;386IqvSuljaZsMjwDGGdLj;Charli;2019-09-13;POPTIMISM;6lWMi4lPiiPwDqn8ZpeyAY;pop;indie poptimism;0.518;0.58;-8.213;0.0871;0.406;0.0017;0.109;0.396;117.501;225267;Mayor;D
2B1FNeROVsmJnzna8t9LiH;Down Low ( Remix);Freak Nasty;25;1GhAOnM5w80tS3ttYTjTLZ;Freak Nasty World;2006-02-16;Minitruckin Playlist;0VVH2Nzj6kBVGK3WIUQMAw;rap;southern hip hop;0.83;0.651;-9.577;0.217;0.000743;0.0327;0.174;0.565;135.283;263640;Menor;A
3sY6z4pGcxpMwx3W026WtU;Peace of Mind;Boston;12;01OahkTPRCleDjobtRk7ST;Boston;1976;80s / Classic Rock;29dTrOurPDrMcrnio2q6hZ;rock;classic rock;0.421;0.677;-6.183;0.0343;0.000989;9.65e-05;0.211;0.683;127.67;303587;Mayor;E
64yBYBrJLWlGqDlGGHCfAL;Feenin';Jodeci;0;4Q8fGnbtJ3z3spSAmmz1A9;Diary Of A Mad Band;1993-12-21;New Jack Swing - 90s R&B fused w Hip Hop;79xd4wnVuKZK4rJMsL2wPa;r&b;new jack swing;0.675;0.612;-10.853;0.0651;0.168;0.0;0.943;0.593;121.702;310707;Menor;F
