track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date;playlist_name;playlist_id;playlist_genre;playlist_subgenre;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;Escala;Clave
1IIYOuxT9djbArUWP1yE1a;Monocool 2014;Adrian Emile;13;1WEp9OPGDYhG8bnnvdsuVJ;Monocool 2014;2013-10-30;Gym (Melbourne Bounce/Progressive House);5BqOZpVEqRDfZScvW1QUyA;edm;progressive electro house;0.656;0.983;-3.351;0.051;0.00723;0.718;0.0968;0.193;127.942;215625;Mayor;C#
041RKnQpbVpDuSRtg231un;005A1;Apparel Wax;34;1lh2D2mZhuhZvsKOv4ZF3F;5;2018-10-08;House/Electro/Progressive/Disco/Lofi/Synthwave;42jbIN5Zj0UUPdtmqxQRKF;edm;progressive electro house;0.804;0.846;-7.994;0.0565;0.096;0.246;0.0623;0.887;124.003;347187;Mayor;F#
5eAGda6EwIwCJp2i2S3UeS;Alone - Blazars Remix;Alan Walker;42;5D3DpC2bpSQ4M0i1R7TCnK;Alone (Remixes);2017-03-03;Crossfit‏‏​​   ‍;5GiPRvTccToqwOzkoAcDrY;edm;electro house;0.741;0.928;-4.615;0.0835;0.00221;0.000884;0.407;0.346;126.016;310413;Menor;G
1M2hRrYg3dyf6QTbjBX3vM;For U;Olivia Creutzer;40;0JrGZZrSzmz5YKw3c6m1W1;For U;2019-04-19;Great Pops;5SO7xYih5w8X5FEpKvU7Rt;latin;latin pop;0.506;0.593;-8.476;0.0938;0.783;0.0;0.0822;;103.31;177477;Menor;B
0NXaHNdHP9uA9IXM54y4rC;The Rain;K-OS;29;6uNDNflKRjEjnEESQUQrXT;Collected;2007-07-17;NEO FUNK AND SOUL;2WbTrS5D0V2TW6DiDkJBru;r&b;neo soul;0.745;0.54;-6.989;0.0403;0.661;4.81e-06;0.0981;0.696;96.979;231760;Menor;A
47FyQCd3TYLrZ9TU6MPaWK;Ace Of Spades;Motörhead;4;46a9whRz5DF0PC97HrZrqz;Ace Of Spades (Reissue - Expanded Bonus Track Edition);1980-11-08;Classic Hard Rock;1gAeQGQ7hr2q7IYmaejDW6;rock;hard rock;0.324;0.991;-4.465;0.197;0.00247;0.00895;0.104;0.195;140.245;166707;Mayor;F#
6habFhsOp2NvshLv26DqMb;Despacito;Luis Fonsi;79;5C0YLr4OoRGFDaqdMQmkeH;VIDA;2019-02-01;Tusa - Karol G | China - Anuel AA | Estrenos Reggaeton y Música Urbana 2019;0T47pLnihK4xB8Bk9IQ0Dv;latin;reggaeton;0.655;0.797;-4.787;0.153;0.198;0.0;0.067;0.839;177.928;229360;Mayor;D
0CuH80ZIk4m2OckEJYZ8yY;Scared To Lose You;Karasso;1;5yX5enofY8AWufaG2b6xYd;Scared To Lose You;2019-01-18;Big Room 2019;6SrHyxIxWfQx9ISEr6yowk;edm;big room;0.668;0.687;-6.553;0.0687;0.0139;0.000111;0.236;0.581;128.017;262500;Menor;A
42UNOIiUgrUFvwZrVDGxvo;Budokai Tenkaichi;Saramalacara;50;5F16dxrXVuweJDqRQpKlR7;Budokai Tenkaichi;2019-06-30;Trapperz Argentina;37i9dQZF1DWXrVH01e3PIE;rap;trap;0.893;0.327;-9.289;0.117;0.299;0.00017;0.119;0.878;130.037;142163;Mayor;C#
1oIdcFtf58sZbS7QyZQJ2P;Run Free;Deep Chills;60;37QAucQUcm3aCvRLxjtwKj;Run Free;2017-08-18;ElectroPop 2020;4frhr6RQM2fMOm2mpvOVo6;pop;electropop;0.727;0.69;-4.559;0.0345;0.202;3.27e-06;0.414;0.699;100.002;170562;Mayor;G
6tWKhX3wI5EDpnyBTWLX9s;Don’t Take the Whiskey from Me;Danny Boone;38;3OHLWecwSvDZHY4pGShyUI;Fish Grease;2014-06-10;Southern soul & hip hop;4xJULuV0P5PLcMe3xP8Pgj;rap;southern hip hop;0.626;0.649;-6.253;0.0265;0.0112;0.0;0.286;0.413;84.002;224769;Mayor;G
0QVf7U1E5qxHHill6UnYtE;Adrienne;The Calling;48;2Ir1mtE8K61cCNY5WQyKGV;Camino Palmero;2001;Permanent Wave;2ExyzXAbukW7I8bDqdGvPB;rock;permanent wave;0.303;0.878;-6.732;0.0656;0.000669;0.0;0.07;0.78;184.049;270333;Mayor;F#
3KeiwsmA8ATkmuQSWyEh46;Presente;Control Machete;35;7HgtmenilcpT51uM8aY0vv;Artilleria Pesada, Presenta:;1999;Mexican Gangsta Rap;28Ke4pXWqF2A5b2GfQ1pQt;rap;gangster rap;0.44;0.806;-6.276;0.123;0.158;0.0232;0.522;0.438;80.088;283933;Menor;E
6NlrjHMKSdFxQ1hiMDfXhF;Break The House;Borgeous;38;1ZgOuUfaNOQSZNzFlCH6Fa;Break The House;2014-11-07;BIG-ROOM NEVER DIES !;4QtO2XySphMOJt7pX0yaVi;edm;big room;0.714;0.984;-4.124;0.193;0.00276;0.00783;0.0917;0.409;128.004;293541;Menor;F
1PLHnhmfEfvo77sxPuVwwv;OMG;ricky retro;51;5ESsMrqbpVnksVH6lP434b;OMG;2018-11-15;Nasty Bits;37i9dQZF1DX2VvACCrgjrt;edm;electro house;0.823;0.752;-8.268;0.205;0.0119;0.444;0.0474;0.606;126.005;169368;Mayor;D
4dAMdQ6g4kGmnc1MDHsg77;Shotta Flow;NLE Choppa;76;4O6AXVdjqdJiGYlEm7fz0o;Shotta Flow;2019-01-17;GANGSTA RAP;3DUkl93JjPdOyX83SJr5ms;rap;gangster rap;0.888;0.43;-6.728;0.588;0.0786;1.58e-06;0.132;0.45;120.088;160013;Mayor;A
41IrY9OFcaWVnEojXftyVh;Hipnotízame;Wisin & Yandel;61;6tOFRRXAis3nniv1wG6Nae;Líderes;2012-01-01;Reggaeton Rewind;37i9dQZF1DXco4ODkIraMD;latin;reggaeton;0.797;0.828;-3.972;0.115;0.289;0.0;0.434;0.572;79.992;243387;Mayor;C
