song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
1Off1r34vHtmkxZrVCqOJJ;Reggaeton viejito🔥;0si5tw70PIgPkY1Eva6V8f;latin;reggaeton
58HfaJinOwdtvIusPS04Im;ELECTROPOP EN ESPAÑOL;3VfscqF7zq65IGKiYM3FS0;pop;electropop
2Vr9ZMdhXKcpuwG3CDieuD;Great Pops;5SO7xYih5w8X5FEpKvU7Rt;latin;latin pop
5C4eNmmQrEGRDx9iBGYzC4;Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos;3Ho3iO0iJykgEQNbjB2sic;ROCK;hard rock
6rg36Oftq44sszWXRdwcEG;Electro/Progressive/Club House;1HtnPDj2V126xB9tJP786P;edm;progressive electro house
27GmP9AWRs744SzKcpJsTZ;Latin/Hip Hop/Dancehall/Soca;2rg9LCyvaMQvnCE2hVndpR;latin;latin hip hop
2gfToY9trgUdYIgPkc8zwR;Jeff Seid Electro House;2Tisn6NZbeofpc57Oc6MGo;edm;electro house
21xFsQzlsh6cr5XIDqKc7S;Today's Hits (Clean);7ENISpOJhocpMJVcGb0qcT;r&b;hip pop
6CD2NyrQ5rHmik1DjhdDdn;The Queen - La Discografia Completa;3E88dLx4fgFYY70gdGzdnB;rock;album rock
7I9Xd5GMl0CNvnM6PFpS1q;Hard Rock;37i9dQZF1DX1X7WV84927n;Rock;hard rock
7hVhRCDV100Jq26NGR7adw;Classic Rock Retrogamer;6gUFdcGzKAHyDXY9TKC6cP;rock;classic rock
6rsYw1N6aYJQkops4eFjNq;Festival Music 2019 - Warm Up Music (EDM, Big Room & Progressive House);73uj4YmsC7SJ6SbUMTvf07;edm;progressive electro house
2u0oTsc6XcvJTh24ynQ1Ao;Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers;3YdAwfgQLMS4AN2WjRfRlb;latin;tropical
4dqoJHdxf9Ez4DDqGh2PBc;De Fiesta;37i9dQZF1DWVskFRGurTfg;latin;reggaeton
