track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date
08oolgtQ3uYjZDXNK1VCC6;California;Delinquent Habits;48;1Al8Q1H0q6yFpQ4lF68hGE;It Could Be Round Two;2017-03-03
4mU5iXHeLgbR94siF7p1sY;Six Feet Under;The Weeknd;69;2ODvWsOgouMbaA5xf0RkJe;Starboy;2016-11-25
54huym3Clwn8vsqDeTVETg;Tell Me Do U Wanna;Ginuwine;40;4cEX2rhss4PBg5EU5Vs0Uj;Ginuwine... The Bachelor;1996-10-08
3OcQkcvTcohs8vO8Rd3sKF;The Humpty Dance;Digital Underground;62;1qUuOtsaAWlD6D83AebzD0;Sex Packets;1990-03-26
5CXF4x2kZI2ftIogOuhXYN;Different Ways;Natixx;26;3HjF8xB8irPpSMD57gfCLl;Different Ways;2020-01-10
73OZcwiBI41R0o5TDGeZ7i;I've Fallen for You;Tom Redwood;48;0qc9Pbp37q8x1OP6Vk8OXz;I've Fallen for You;2016-04-01
52riputZ4Vo5PG9MOSy6r5;I Got Love;Nate Dogg;60;1MCA50GzswxscAouRWnrES;Music And Me;2001-12-04
3NgDulHteTVdF026IxY5bW;RX;Don Omar;49;3F41BssbVvfFnh6DdDODeO;Meet The Orphans;2010-01-01
3Of5Vvox7DstYj6oET5b2h;It's Goin' Down (feat. Nitti);Yung Joc;24;6IUWw1FQfwZRC0CSpsEiw2;New Joc City;2006-06-06
7MD5qMLhP1Xll1yACGFR2h;Back Together;William Black;44;1a1fINJIfLtJhttbgfGnU4;Pages;2019-08-22
1jaVHAdoEONRCrcNvRtCFY;Vorankommen;Luciano;55;4ADIqpPBchOMHfHYRL9HU1;Eiskalt;2017-11-17
3psphMjNlZ6AH8WZSthmvO;Machika - Dillon Francis Remix;J Balvin;40;4metRe5Z7olj7AIzTg4guy;Machika (Dillon Francis Remix);2018-03-30
2r4mpuIYFgKsjeykJTQMqX;Nice To Meet Ya - Diplo Remix;Niall Horan;65;3UuXPv0M71CU6m3On0wIwb;Nice To Meet Ya (Diplo Remix);2019-11-07
6Xu68vlqiu05qseJTVKlbw;Dunkirk - Instrumental Album Version;Camel;0;6H5RUv1Byx1CquzP7utSTl;The Snow Goose (Deluxe Edition);2009-01-01
4sUlsy0tPv9n5nqrqeA0lE;Magic Man;Heart;58;2N0AgtWbCmVoNUl2GN1opH;Dreamboat Annie;1975
3lX49Bqy21Y5HneUJ7p55G;Sunday Morning;The Velvet Underground;11;1gGjSTfser1MPfowGiuy9l;The Velvet Underground & Nico 45th Anniversary (Super Deluxe Edition);1967-03-12
