song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
5nR1FL7koznk1OkRpjuZsH;Urban/Trap - Contemporary RAP;5CK0fshHcik1vWyeCc0zat;r&b;urban contemporary
1PmU8dWoCrO7JUS4nNzRO9;CHRISTIAN ELECTRO / DANCE / EDM;0MhTMIo1bgH6zzPh7BdChT;edm;progressive electro house
17gmQiUAmUvJwXOrOHDe2C;Hard Rock Workout;5nOO372uzpOM5rB2bRWfkp;rock;hard rock
257netJMcq74uicLY08DNB;This Is: Javiera Mena;37i9dQZF1DWSOvcBNdfJ87;pop;electropop
0HaAoQJ1PgF0gIm1o6JYIM;Southern Hip Hop;57sYMLFXGD4ZqizzcMD7lz;rap;southern hip hop
1iEwyiSLAunPR6uouANE0O;Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖;2kY6lVc5EcVfI5WNKmPQQG;latin;latin pop
5Jj9pRGss8sPx2pWWQIsL3;Fresh Essentials;4RFszTXlSMZFgpqIJS3754;r&b;hip pop
7FGq80cy8juXBCD2nrqdWU;Hip pop;1Sc7bobknESH7SXQcnmoX5;R&B;hip pop
424ga21oScJ3e1YvT9JxlT;GTA V - Radio Mirror Park;31R7Gd07KsDafqJEeL4Hqr;pop;electropop
17G9G5tBsdzmKmoHIh00sX;Reggaeton 2020 😍 🔥;03sDEv7FN58Mb9CJOs1Tgn;latin;reggaeton
2Pqzf2KbYm8dpFNaDqJCsj;Big Room EDM;3S03NWbWkrR1e7DPH9rf9Z;edm;big room
6Gg1gjgKi2AK4e0qzsR7sd;RapCaviar;37i9dQZF1DX0XUsuxWHRQd;rap;hip hop
4S4ALVSVFI64Hr5UWuU6Gk;Epic Bass Drops | Best House Mixes;4IS7o1utOzhimFEFnj9gmu;edm;progressive electro house
7ACCDmXvdV7alpC7Cb0ush;Electro Pop | Electropop;2a5i2ZtEXGKwVGL16J8N0p;pop;electropop
6v3KW9xbzN5yKLt9YKDYA2;Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs;3xMQTDLOIGvj3lWH5e5x6F;r&b;hip pop
1gyee1JuFFiP476LQpRMYU;Permanent Wave;2ExyzXAbukW7I8bDqdGvPB;rock;permanent wave
2RJsc3MxI6vPPnzHM0eGBo;2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS;2DjIfVDXGYDgRxw7IJTKVb;edm;pop edm
0wkQ1NGp0D1QjC59vmbYNY;Classic Hard Rock;1gAeQGQ7hr2q7IYmaejDW6;ROCK;hard rock
5b2NgPj4WBjBW1uLbl2v9p;New Jack Swing | The Best 👌;3m4z6komWDtKly3Q1FvFmN;r&b;new jack swing
76hfruVvmfQbw0eYn1nmeC;Today's Hits 2000-Present;6a66cg3HcsjYkisYyQcov6;latin;latin hip hop
1BozLp4I0BcqA5hDAhxV8h;Dose Trap;37i9dQZF1DWWlW7KLhEhCZ;Rap;trap
0Eid13xQpSGVHV45yOtfIe;SINULOG Festival 2020;0COM4nZqdXC3sMjVdcaU7V;EDM;big room
6u0dQik0aif7FQlrhycG1L;Ultimate Indie Presents... Best Indie Tracks of the 2010s;37i9dQZF1DWTHM4kX49UKs;pop;dance pop
0yHOOuKhe57iSzS2TbxSKN;Alex Workout;7fRlDx99wBg6i45OCvxwKY;Edm;progressive electro house
13ZiA95houLXuLxkbwghQ1;◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance;0Hr2h94pKN8QAGVAgD6BsD;rap;southern hip hop
3xJx0XcOK0tfVquoP1TY1i;Pop Dance Hits;7eERKCkgNKCCx5GYdeMIZf;pop;dance pop
5rqn93J4KqJrxSO7SMns4B;Global X;37i9dQZF1DWUxHPh2rEiHr;Latin;latin pop
17Fd6Yb7mSbinKG8LoWfFl;Tropical Morning;0vbtbmyihyvl2MVYrdKdGw;latin;tropical
7dLxiu3Nd6KUg4y7lPnABX;REGGAETON VIEJO;31hG19URdBvLEpQWKFYfdD;Latin;reggaeton
3rrO9vddarA7XWYVsomwj2;LATIN FLOW MIX - Música Cristiana🎵;396llvvFOIB9jgPg0kqNDb;Latin;latin hip hop
6iwkQs6nzwXmdgPH9vnIr9;Indie Poptimism!;4hKPJNFIhdAg4pAksn78FJ;pop;indie poptimism
4MdvgmBT9wxfpgFziA7ZHl;Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...);2nRWtTI9a2LWjJ9Wy3JZs5;pop;electropop
2du5gCpnDxNp8DZwvbVixv;Brand New EDM;2dNitDEHM9FpUGEHWc7zyW;edm;progressive electro house
4bPrKGqQKiBmf49XB4F4H5;Rock Hard;37i9dQZF1DWWJOmJ7nRx0C;rock;hard rock
1euEMWtuw87OGTPcHkqjAK;Brand New EDM;2dNitDEHM9FpUGEHWc7zyW;edm;progressive electro house
6K5BsR04ijf3FHNzjbaagD;Urbano: Latino Vibes;0VsVywryrqLhHmsVFVcOAg;latin;latin hip hop
3iQOfefMGDVDwo8dZoco8T;Flow Selecto;37i9dQZF1DX4OjfOteYnH8;rap;trap
6eDApnV9Jdb1nYahOlbbUh;Pop 2009-2011;3gV6KQYZKIuoWml0094vx6;LATIN;latin hip hop
0FMhMAFPLg8EljnROSoVnj;Southern Rock/Classic Rock;0QUlq0LMDVXSBtbyYLTyZh;rock;classic rock
2rbsEUWhJoC1fwTFihoOWI;70's Classic Rock;76lrxCrKrGDkDDf3SVPnl3;rock;classic rock
0IU79guOo0dUEwCCU0JjJz;Big Room EDM;3S03NWbWkrR1e7DPH9rf9Z;edm;big room
