song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
2Ec33AVlkTTq8BHFgBTdQs;Trap Americana;7tkgK1tm9hYkWp7EFyOcAr;rap;trap
4lzxJ4jCuFDXXGkE1LmpKR;Trap 2020 🔥;37DFLy7lqF3qiR99Ss2ZGR;Rap;trap
2LA5mHwF4FphL80jo47Npp;F**KIN PERFECT;3CzQZEf6jmEjDmBIVO9rdR;Latin;latin pop
7Iz2uEnGQasIwj0HnTqdTj;Russian Gangster Rap;0u0qLLE8MZc679RZWCk1TT;RAP;gangster rap
0COqiPhxzoWICwFCS4eZcp;Permanent Wave;2ExyzXAbukW7I8bDqdGvPB;Rock;permanent wave
0ix3RUQ76mECOKP6LDPy66;🔥💵 Hip Hop, Rap, Heavy 808's - New School;3jPkaExIWXQWklcmmF5180;rap;southern hip hop
599SYydq8MbWRSa0gYJtVK;Latin Pop Songs;5uOMV7g6vp8WxoqXfkzKaw;latin;latin pop
5ol5vmBHvjrdEXfky3gsQk;Southern Soul BBQ Mix;3nTS97zUqxJBQeiXNRs963;rap;southern hip hop
7g7M96UGiA7OR79H86gV4m;Hip-Hop Drive;37i9dQZF1DWUFmyho2wkQU;RAP;hip hop
4RMkS2RKc0dVR4pj7m2LvY;Chicano Rap;3o3xRXWMtBMezk0E3wmtGI;latin;latin hip hop
52Qu0no0NBho3zyRmjlsHn;indie poptimism;1E5VdGGWkpDQ682gdvJAZH;Pop;indie poptimism
4y4KG66qCAN2TTevOAEjHy;Urban Contemporary;4425cRh83Uzor4qCRfM9lb;R&B;urban contemporary
3Ye4lLxSc4Sbnqc8mCxAqS;Gangsta Rap/90's Hip-Hop;62spXXfUxBed8nbd5xvH2O;rap;gangster rap
5jbG38paHIeVJc57uXUNYt;Latin Pop Classics;37i9dQZF1DX6ThddIjWuGT;latin;latin pop
6mz1fBdKATx6qP4oP1I65G;The Sound of New Jack Swing;0zn8nuASKC0PISqD9mxCSV;r&b;new jack swing
2beHQY7DvKp9q4vwilKKRS;New R&B‏‏​​   ‍;4I6rTSxqKl1LRvES2O9owQ;r&b;urban contemporary
2SLZ2rX5773RS16mcqBxG7;The Sound of Urban Contemporary;07zF8MjQPsiYUXiAIGZ5TA;r&b;urban contemporary
6WsrPT9yw9gZyZn5ok3E0K;Trap Argentino - Trap Argentina;6ltss0ThreZ3uIMn5mr4Tm;Rap;trap
2adBJEXBiScnmdgqZe5OMM;Pop / Dance;6mXh8CUBMBsBUu88a4eAQV;Pop;dance pop
3wwo0bJvDSorOpNfzEkfXx;Sad Trap;7kzKtw5vug3IIxKfLadi8A;rap;trap
3rBDty01BRxfQ0C3LjLN3X;Fitness Workout Electro | House | Dance | Progressive House;6KnQDwp0syvhfHOR4lWP7x;Edm;electro house
3m5BfIDqu6Od3RU9cnWDNM;Back in the day - R&B, New Jack Swing, Swingbeat, RNB..etc.;3a9y4eeCJRmG9p4YKfqYIx;r&b;new jack swing
2FygRDP2PuxcvWGGyf3nao;Jazz Vibes;37i9dQZF1DX0SM0LYsmbMT;rap;hip hop
1iEwyiSLAunPR6uouANE0O;Reggaeton Rewind;37i9dQZF1DXco4ODkIraMD;latin;reggaeton
3OAZLnU0Ss6TRHtFZ2B6UF;80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds);1oReEujyWpQv2OX68BVPPA;latin;latin hip hop
2jz4XbBHonx48cyTgvcBt5;Global X;37i9dQZF1DWUxHPh2rEiHr;latin;latin pop
4kOy2SbIbkqI55aiAVoe6r;Latin Hip Hop/Freestyle;2MYEUjX0YAI9dxrBDzoCK7;Latin;latin hip hop
