song_id;playlist_name;playlist_id;playlist_genre;playlist_subgenre
0vSWgAlfpye0WCGeNmuNhy;< DARK TRAP >;19WuHd4MxWLzE1fpMmw4S4;rap;gangster rap
0DfqzZnW2KhiyXjVQiFioT;90s Gangsta Rap / Top Hip-hop Classics;0C2zyPdlkbWHrwVg9gqNdU;rap;gangster rap
6eEYGGFfFbtKHCgJM4uh9v;Hard Rock;37i9dQZF1DX1X7WV84927n;rock;hard rock
5YpbeNBco1kDTt58JCjBn7;Latin Pop VIP;37i9dQZF1DX1QnNyJOBQBv;latin;latin pop
57ebBLITHpRgRKGrlbxMZS;Classic Rock Radio;4lIywN6kXl9KPm3OQ8u8G7;rock;classic rock
5DKF4rdNbvPLPXDGeZjEYk;Paraíso Tropical;2v41efarffe6iY8qpMK5Gj;latin;tropical
5GUYJTQap5F3RDQiCOJhrS;Neo-Jazz Soul RnB & Afro;48AzM7l4M02DBYd2N3IFLP;r&b;neo soul
0SQ8yalm13UIJuebuZkQlH;Chixtape 5 - Tory Lanez;0UXwwVDipbBQeEX7h4YuKU;R&B;urban contemporary
0EG1aud0wJV0BneTJDifof;This Is Gloria Estefan;37i9dQZF1DXarsfY89zXC6;Latin;latin pop
0prNGof3XqfTvNDxHonvdK;Intro to Post-Teen Pop;6o6MNYZqHSkMAKcCHPNu7K;pop;post-teen pop
30cW9fD87IgbYFl8o0lUze;Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers;3YdAwfgQLMS4AN2WjRfRlb;latin;tropical
2RaA6kIcvomt77qlIgGhCT;Hard Rock Cafe Classics;3sv5ViKoPDNnZRsklzEGMN;Rock;hard rock
4TAob1aRbfOiNqlE8qSISX;Groovy // Funky // Neo-Soul;0JmBB9HfrzDiZoPVRdv8ns;r&b;neo soul
5cduio5YcoomK018qKCtsK;Classic Hard Rock;1gAeQGQ7hr2q7IYmaejDW6;rock;hard rock
28nrOocj11pS0UVH2VM6b5;Electropop 2019;4Bi8VLtaSu0JILliif8lH6;POP;electropop
7DNGqrLnd07C2FPpAdn6cc;Urban contemporary;0qOJuaqHeg4u1i6gjPKnxE;r&b;urban contemporary
7rKKh8AGVXuNXgLBpTBTFH;This Is Logic;37i9dQZF1DWTIuAboZgTMf;Rap;hip hop
57GgptBE1aWcVn83dWVjU1;Soda Stereo – El Ultimo Concierto;3opIxv3Y5GmXDNpbLFZxIm;Rock;album rock
4tmERaVkzL7X64Oku4vDo0;The Queen - La Discografia Completa;3E88dLx4fgFYY70gdGzdnB;Rock;album rock
5TysCiZtv1HnSWcTcUFusI;MIX LATIN POP°;6IS6XTdbS9qJZgfjNKgpB8;latin;latin pop
06ZIzHhJFWf0mDyEylIPf0;a taste of the mainstream;4gbXqmZDUFHqlaYjf4uVyS;pop;post-teen pop
0FrRYymxD95kUZNhcl3QFJ;Hard Rock Workout;3YouF0u7waJnolytf9JCXf;rock;hard rock
1yZfyNarqiwD8eJBswXplK;RAP 91;37i9dQZF1DX1ct2TQrAvRf;rap;hip hop
6qhgi3McyMuwZv2GLR2aHP;Flow Selecto;37i9dQZF1DX4OjfOteYnH8;latin;reggaeton
6VZ9ABcY9QeQSxOjZwLrVv;Paraiso Tropical;37i9dQZF1DWYey22ryYM8U;latin;tropical
04Glred2wGdSNH11Qh4EDe;Permanent Wave;5Go0Jsxj1UnsU7Om841BEo;rock;permanent wave
4TK1fmhOkCxVXfBGcqGrhz;90s Hiphop / Gangsta Rap;5yGuoOwRQF3o8NVRRlvCj7;RAP;gangster rap
1FmdAhS8FqRoEJ4jcSfuKZ;This Is Logic;37i9dQZF1DWTIuAboZgTMf;RAP;hip hop
3XeFCWwUkalXOxGxHYiPqM;big boom room — TOMORROWLAND EDC EDM BIG ROOM AMF ADE DANCE TRANCE HARDWELL TIESTO;2oalsaFUockoPf1DU3wrL8;Edm;big room
