track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date;playlist_name;playlist_id;playlist_genre;playlist_subgenre;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;Escala;Clave
3R6dPfF2yBO8mHySW1XDAa;Solo Dance;Martin Jensen;61;7J6SYqcOQ705IYA0DUec38;Solo Dance;2016-11-04;Electropop - Pop;5TiiHps0hNCyQ6ijVkNZQs;pop;electropop;0.746;0.846;-2.432;0.048;0.0485;0.0;0.195;0.403;114.955;174933;Mayor;A
5PYQUBXc7NYeI1obMKSJK0;Never Really Over;Katy Perry;85;3KjXg0MDej2pG9fv6I22lT;Never Really Over;2019-05-31;indie poptimism🕺🏻;6MQeEHHDs6HQkN5Dlj3oKo;pop;indie poptimism;0.77;0.882;-4.792;0.0602;0.194;0.0;0.316;0.385;99.991;223523;Mayor;G#
3dTmgecC7MCMbteWjf8Ls7;Can't Get Over You;KVSH;69;5McVvbere3ujsgUgEp5gGR;Can't Get Over You;2019-07-12;New House   ‍;54XvQQsViMBwjO1ws2o2wx;edm;electro house;0.714;0.795;-4.621;0.0354;0.013;2.33e-05;0.0917;0.347;123.002;142439;Menor;A
2bmSQxuradc103RXzvjTkE;Coffin Wave;CPsilencer;33;5p3JL21TPs3x5Wbt9Tg2qf;Coffin Wave;2018-04-12;< DARK TRAP >;19WuHd4MxWLzE1fpMmw4S4;rap;gangster rap;0.83;0.387;-12.908;0.345;0.0858;0.407;0.0926;0.561;120.006;132193;Menor;A#
4raMIjIjMc8JohHth7l9lG;Bruises - Steve Void Remix;Lewis Capaldi;70;3bAq5agU2IUDfDuO4w50aR;Bruises EP;2019-09-27;Cardio;37i9dQZF1DWSJHnPb1f0X3;pop;dance pop;0.79;0.746;-5.96;0.0502;0.241;0.0;0.316;0.538;124.971;212280;Mayor;A
4R9ATNRRl1uth17i5qDCc0;I.F.L.Y.;Bazzi;33;5Q4g8NWSgDf0AEE0Vy7bz9;I.F.L.Y.;2019-07-18;Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop;46Cl6dmeiylK6TRGXr7hHe;pop;post-teen pop;0.812;0.519;-4.823;0.0385;0.379;0.0;0.13;0.554;104.954;165714;Mayor;D
6YziRRY7UY6rZDim35Dolo;Dis Morning;Rocko;34;2aQx5Ytz3TGlA2ibRxN4fL;Self-Made;2008-01-01;Southern Hip Hop;57sYMLFXGD4ZqizzcMD7lz;rap;southern hip hop;0.406;0.701;-5.007;0.203;0.208;0.0;0.127;0.492;96.927;225200;Menor;F
2fuCquhmrzHpu5xcA1ci9x;Under Pressure - Remastered;Queen;81;6reTSIf5MoBco62rk8T7Q1;Hot Space (2011 Remaster);1982-05-03;②⓪①⑨ mixed;2bOjjgN1S3Gqd8vSMyafvJ;rock;permanent wave;0.671;0.712;-7.815;0.0476;0.429;0.0;0.103;0.462;113.805;248440;Mayor;D
58dRar8dH64xLu0Nw339wJ;You Kill Me (In a Good Way);Sleeping With Sirens;45;0AMC1Y0J0a5yN7lkOSWrJr;With Ears To See And Eyes To Hear;2010-03-23;Pop Punk | Post-Hardcore;1YgWQAs1s77NzieIH4ARKn;pop;post-teen pop;0.38;0.907;-5.052;0.062;6.09e-05;0.0;0.103;0.608;155.017;222120;Menor;D#
4MeDnO5yA2Zi6IMlVApRci;Freek-A-Leek;Petey Pablo;63;2R7G5Z0RWWZU1V731JZG68;Still Writing In My Diary: 2nd Entry;2004;Southern Hip Hop;3R5c1OfJY7Rzl3p28pzGtL;rap;southern hip hop;0.756;0.691;;0.178;0.0744;0.0;0.364;0.632;104.999;235187;Mayor;D
