,Curso,Repite,Matemática,Física,Química,Biología,Historia,Geografía,Filosofía,Educación Cívica,Literatura,Inglés,Economía,Plástica,Música,Educación Física
704,A,No,76.20711486121431,70.36608915992707,70.8840889189882,61.34686008765918,63.35853702840819,,52.89190724673701,51.08124774023866,74.73881385532363,68.71200356549849,68.13625426721319,80.55005370721022,60.31141661650063,50.989671986751986
1892,B,No,79.48216426514902,51.17713034662527,47.641704908722176,43.11752275672521,78.930466825553,,71.73623476300901,60.388112912980276,69.02321674806697,57.465699008310104,69.71030439016056,64.47859687012846,65.30591497631139,
346,B,No,60.01346837772319,57.28362525900231,58.349965974137504,48.9252863407482,86.50117603471392,73.13974412197368,75.41348109340866,70.1408002769592,71.92872408533339,59.95339414730564,61.06750293242203,67.97753999514926,78.84689712955542,80.4184788063629
1386,B,No,61.36516749184857,54.02950623387152,42.751507208439,38.00999106264343,71.07871719786289,58.86179388017058,49.107717660071756,53.33232562855668,76.15109976846966,60.96004986912353,65.57305282507282,71.02320552648116,54.630661473699725,80.51425578439294
752,C,No,73.67628290132203,62.53934868204493,68.33888541158257,62.6686341137208,76.0251958249689,,71.08770379507462,54.29139249799778,68.18302483929473,74.11517910553775,71.57356674650849,70.10193193330478,70.66044124562922,56.13239140820784
2388,A,No,81.74098527425025,69.47355848347128,59.32652075541469,52.95548310546046,71.14412368042365,,57.6581375105059,53.92753063494175,69.95034376717189,70.67772067896797,71.51917835901003,76.30169219172643,59.497751330817344,75.00118877597642
2054,C,Sí,64.5179567586109,58.22832913343212,69.09152537972382,43.10157637324831,83.0857830796425,79.4053584092936,77.95911458124311,59.136275789685925,70.61476866253587,70.95426592569177,61.66277116447442,56.12915700608524,82.83720671392639,66.89065023739546
1251,A,No,74.89193652655752,72.48575817288659,69.86902214314686,57.510866778822326,66.6431790381093,63.6045144265307,60.085919474737025,49.38094633089703,73.9815357094754,72.07130604616192,73.20911193304802,69.80855821633541,60.437194236004885,70.6016090551286
2053,A,No,80.7906707224236,76.47978337430234,66.04004007992928,59.47903182096451,64.19388869320456,59.20860549836812,60.20621973405997,54.558034991761936,73.34051648402603,74.86527936559459,76.44767534428084,86.12453030898911,62.705125677900256,33.047790599231156
211,C,Sí,71.82264076417208,66.44481856383248,68.42657528704655,54.92139895214558,71.90310006401779,68.50017086183163,58.35375264968755,50.17327519633132,51.556809629396284,57.880425178999545,66.76025928029901,49.70102239619745,69.10803872287086,
1991,B,No,38.83078144523639,33.16579803277153,31.441453282298014,25.687401815926428,102.60140461347014,77.58716046922194,70.55167057539066,76.64671307625447,66.92966554818399,65.67188862496047,56.06304344903758,71.20193035032734,73.49113518012774,
824,C,Sí,59.69720118420418,75.54966176147774,72.1571034505717,59.89868571953888,58.65725161531464,63.37782472465878,53.62247117664813,42.139565064093375,62.62013106442533,75.99614755745822,60.3196037772263,51.82152663131493,60.97198401914238,57.86837802241997
1245,C,No,86.3702573186413,77.64286409088164,67.54936591716323,58.39531023446439,92.61965744802043,75.62527146060607,70.57890495227161,72.03716737334499,74.6309854366776,76.9657485034514,76.07605981328615,57.13154465927982,75.63441452518826,
597,B,No,82.70839624251745,75.63657946228624,68.52679361170419,83.23150194862693,86.24012196489363,74.30684855219529,78.4549953556074,72.77623184447339,70.37832014420232,72.61691664868695,82.42237987815481,69.33829868839555,81.59501997559798,77.59846681533031
2180,A,No,73.50271066453855,69.96025789795652,63.07570265373265,66.62514058336693,71.56513686380175,55.87659982664235,66.1214888901446,71.14425641065556,64.64936836946559,71.61225182586857,69.25433019195358,71.3672148646576,63.93891779185861,54.697311581301975
532,B,Sí,68.87055686197255,57.85717872034792,64.0916033688557,44.465333888052,78.38237717217345,72.61452581585463,67.41469043568583,59.89744769256681,85.93388322894019,76.48610776201463,68.7736990437699,60.57714225204747,76.00312202911051,
2425,B,No,59.24657423796865,53.535505334068986,44.01804962490959,43.1747960669281,85.35414213908125,,65.72275078403972,64.84469115348637,76.09596705641381,57.074917773792635,63.472279863003386,70.9381077890085,67.86196843862251,67.79147294363639
1071,C,No,51.522891239710056,52.90847289114298,44.306472818803826,35.048768359596274,77.24069032454119,,57.470515619302645,64.93903304550592,63.76603531497999,64.96303061800609,56.8425114741801,68.93722976154831,69.06689376076524,69.84655055938484
1622,A,No,81.16306943687836,77.1003359997372,77.0776215557716,65.43626673725214,80.72142420939105,,64.04393321183503,57.64429625277273,72.79449528263068,73.24010877518734,78.9892325366086,84.26866364765019,62.45691520867951,
765,B,No,75.9864983392197,79.23933768804159,82.14824849985256,54.697245976697104,82.49974749682265,,72.7987383344874,71.3914652191213,75.93559646143315,69.33310257868824,61.4572509035568,69.32625782238183,72.14070837859774,74.05502040059247
2367,C,Sí,77.61172291783923,72.10028110340652,69.75453196128535,63.1222327099878,77.39225752510164,71.15777384830481,66.96176440488033,54.00267483302231,70.51156881802056,86.15552378502689,72.06858902241957,68.03494502095468,73.2102962332279,63.04633570095592
2038,C,No,77.8516825931833,63.99546652592954,77.26295453283312,56.74313288691667,83.2415368303275,,77.61602427994634,58.00864401219396,76.4580595603354,76.81262180218503,71.09183557280303,63.48926573247437,68.14034840649533,53.88443515224709
1477,A,Sí,82.93070567602929,88.30633091701453,75.38239881258927,73.88443285246375,50.73474444682213,61.909083714650976,50.589206354436385,46.566687050432584,58.8850157268047,75.58651096519857,71.59372866259376,57.83883982806658,60.771388561719846,61.66039862921175
809,B,No,68.78342858615854,66.75485277064757,60.48332376351336,44.41898812410616,96.93966182760866,,75.10373083104182,63.94405257331296,69.64679092000729,70.0272290483866,71.00910490942643,71.9872534888292,70.15890997582235,
